stem,view,dice_f1,precision,recall_sensitivity,accuracy
test_1,6x6 only,0.5427898155063263,0.5467176102807146,0.5389180552379149,0.969654083251916
test_1,5x5 only,0.5865461617660528,0.5879587155956559,0.585140378908257,0.9724273681640253
test_1,OR (6x6 | 5x5),0.5516069375715741,0.49070698087995485,0.6297648938591306,0.9657783508300413
test_1,confidence blend,0.5647798010352174,0.5760056959765325,0.553983108878619,0.9714622497558223
test_10,6x6 only,0.7912015215410604,0.862992694145519,0.7304374379718066,0.9807357788085563
test_10,5x5 only,0.8088453302582734,0.8780509611078425,0.7497518894566381,0.9822921752929312
test_10,OR (6x6 | 5x5),0.8288647157956072,0.831731877930024,0.8260172532248065,0.98295593261715
test_10,confidence blend,0.8124238733248833,0.8676610875024996,0.7637987632637881,0.982376098632775
test_100,6x6 only,0.4099948421110608,0.6500090859519353,0.29943077180621175,0.960727691650354
test_100,5x5 only,0.586436544413945,0.6668088737194253,0.5233550979402951,0.9663619995116819
test_100,OR (6x6 | 5x5),0.5926621084146254,0.6357012750449279,0.5550811987271429,0.9652290344237913
test_100,confidence blend,0.5702088733035675,0.7256499805966555,0.4696132596681151,0.9677391052245724
test_101,6x6 only,0.8616462346754266,0.8158163265295717,0.9129317727648973,0.9921646118163684
test_101,5x5 only,0.7995468563151868,0.7150737363495271,0.9066514416201732,0.9878501892089466
test_101,OR (6x6 | 5x5),0.7903453136006634,0.6714228696860193,0.9604624607465595,0.9863815307616811
test_101,confidence blend,0.873496747058636,0.8094020216772507,0.9486154724508299,0.992656707763634
test_102,6x6 only,0.6218608371099382,0.6499303427134857,0.5961155123942774,0.9458923339843389
test_102,5x5 only,0.6479128343000855,0.7258719086869208,0.5850753897262535,0.952541351318323
test_102,OR (6x6 | 5x5),0.6835600988648085,0.6442464266326017,0.727983644262342,0.9496955871581668
test_102,confidence blend,0.6673832923831217,0.6683754549645418,0.6663940710448932,0.9504241943359012
test_103,6x6 only,0.3263843972335308,0.3282297608322543,0.32455966752392185,0.9483528137206669
test_103,5x5 only,0.3273583545579666,0.31822853405557483,0.33702750841051154,0.9466056823730107
test_103,OR (6x6 | 5x5),0.35402199698065384,0.3137854576035524,0.40609538887749247,0.9428672790526984
test_103,confidence blend,0.3483348773707405,0.34336249158863463,0.3534533940230027,0.9490165710448857
test_104,6x6 only,0.7738704529190612,0.8387212215187417,0.7183285655897851,0.9843254089355092
